decision_date,ticker,ticker_raw,asset_class,issuer_name,specification,isin,observed_at,close_price_brl,average_daily_value_brl,trading_days,trade_count,quantity,source,universe_year
2019-01-02,GBIO33.SA,GBIO33,bdr,BIOTOSCANA,DR3,BRGBIOBDR008,2019-01-02,8.52,2293658.9,60,582,124600,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,ROST34.SA,ROST34,bdr,ROSS STORES,DRN,BRROSTBDR006,2019-01-02,159.09,797589.9629629629,27,1,17500,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,JNJB34.SA,JNJB34,bdr,JOHNSON,DRN,BRJNJBBDR002,2019-01-02,489.07,793386.0188679246,53,1,500,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,COWC34.SA,COWC34,bdr,COSTCO,DRN,BRCOWCBDR006,2019-01-02,194.1,664165.52,50,1,7200,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,DISB34.SA,DISB34,bdr,WALT DISNEY,DRN,BRDISBBDR006,2019-01-02,413.31,610082.4545454546,55,1,1500,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,MCDC34.SA,MCDC34,bdr,MCDONALDS,DRN,BRMCDCBDR000,2019-01-02,168.0,607751.1428571428,49,3,7500,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,CMCS34.SA,CMCS34,bdr,COMCAST,DRN ED,BRCMCSBDR008,2019-01-02,131.5,569885.1379310344,58,4,18600,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,PFIZ34.SA,PFIZ34,bdr,PFIZER,DRN,BRPFIZBDR006,2019-01-02,165.02,540574.918367347,49,2,2500,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,BERK34.SA,BERK34,bdr,BERKSHIRE,DRN,BRBERKBDR002,2019-01-02,773.48,519028.36,50,3,500,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,SCHW34.SA,SCHW34,bdr,SCHWAB,DRN,BRSCHWBDR006,2019-01-02,159.63,517310.9090909091,11,2,200,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,FBOK34.SA,FBOK34,bdr,FACEBOOK,DRN,BRFBOKBDR006,2019-01-02,260.95,485131.4117647059,51,7,4300,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,VLOE34.SA,VLOE34,bdr,VALERO ENER,DRN,BRVLOEBDR005,2019-01-02,144.32,470451.08,25,1,5200,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,DEAI34.SA,DEAI34,bdr,DELTA,DRN,BRDEAIBDR008,2019-01-02,191.41,468123.6666666667,27,1,2500,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,MSCD34.SA,MSCD34,bdr,MASTERCARD,DRN,BRMSCDBDR006,2019-01-02,727.28,464458.152173913,46,1,200,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,NIKE34.SA,NIKE34,bdr,NIKE,DRN,BRNIKEBDR006,2019-01-02,284.32,437458.5,40,2,12800,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,CHVX34.SA,CHVX34,bdr,CHEVRON,DRN,BRCHVXBDR008,2019-01-02,209.99,436316.306122449,49,2,1500,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,ATTB34.SA,ATTB34,bdr,ATT INC,DRN,BRATTBBDR007,2019-01-02,112.32,421116.57692307694,52,2,3100,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,GOGL35.SA,GOGL35,bdr,ALPHABET,DRN C,BRGOGLBDR019,2019-01-02,160.66,420285.95238095237,42,1,1800,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,PEPB34.SA,PEPB34,bdr,PEPSICO INC,DRN,BRPEPBBDR005,2019-01-02,417.78,418045.5714285714,49,1,900,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,BOEI34.SA,BOEI34,bdr,BOEING,DRN,BRBOEIBDR003,2019-01-02,1228.78,381615.60714285716,28,1,1000,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,SBUB34.SA,SBUB34,bdr,STARBUCKS,DRN,BRSBUBBDR005,2019-01-02,245.22,379835.32653061225,49,2,10100,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,CTSH34.SA,CTSH34,bdr,COGNIZANT,DRN,BRCTSHBDR002,2019-01-02,242.5,366978.9411764706,17,1,100,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,NFLX34.SA,NFLX34,bdr,NETFLIX,DRN,BRNFLXBDR000,2019-01-02,1016.08,323523.6,40,2,200,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,GPIV33.SA,GPIV33,bdr,GP INVEST,DR3,BRGPIVBDR003,2019-01-02,4.62,320901.24074074073,54,16,180900,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,VERZ34.SA,VERZ34,bdr,VERIZON,DRN,BRVERZBDR008,2019-01-02,213.48,316304.40476190473,42,1,1000,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,CTGP34.SA,CTGP34,bdr,CITIGROUP,DRN,BRCTGPBDR000,2019-01-02,204.89,308172.53658536583,41,1,1400,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,LILY34.SA,LILY34,bdr,LILLY,DRN,BRLILYBDR006,2019-01-02,218.48,294755.5853658537,41,1,300,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,BOAC34.SA,BOAC34,bdr,BANK AMERICA,DRN,BRBOACBDR004,2019-01-02,95.99,294616.36363636365,55,2,10900,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,TEXA34.SA,TEXA34,bdr,TEXAS INC,DRN,BRTEXABDR003,2019-01-02,362.67,288240.6304347826,46,1,300,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,GPSI34.SA,GPSI34,bdr,GAP,DRN,BRGPSIBDR009,2019-01-02,98.58,279794.0,24,1,26900,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,BIIB34.SA,BIIB34,bdr,BIOGEN,DRN,BRBIIBBDR001,2019-01-02,194.9,268992.39285714284,28,1,6100,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,AMGN34.SA,AMGN34,bdr,AMGEN,DRN,BRAMGNBDR004,2019-01-02,730.78,268520.7631578947,38,1,1300,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,ABBV34.SA,ABBV34,bdr,ABBVIE,DRN,BRABBVBDR001,2019-01-02,342.84,266481.72,25,1,300,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,MDTC34.SA,MDTC34,bdr,MEDTRONIC,DRN ED,BRMDTCBDR004,2019-01-02,167.99,255253.86956521738,23,1,1600,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,MRCK34.SA,MRCK34,bdr,MERCK,DRN,BRMRCKBDR003,2019-01-02,287.78,243771.0,38,1,700,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,MSBR34.SA,MSBR34,bdr,MORGAN STAN,DRN,BRMSBRBDR008,2019-01-02,155.14,241539.27586206896,29,1,300,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,GSGI34.SA,GSGI34,bdr,GOLDMANSACHS,DRN,BRGSGIBDR008,2019-01-02,65.75,240307.6739130435,46,11,2100,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,XRXB34.SA,XRXB34,bdr,XEROX CORP,DRN ED,BRXRXBBDR005,2019-01-02,76.92,234841.0,20,1,1100,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,MMMC34.SA,MMMC34,bdr,3M,DRN,BRMMMCBDR000,2019-01-02,181.61,211883.81818181818,44,1,500,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,COCA34.SA,COCA34,bdr,COCA COLA,DRN,BRCOCABDR002,2019-01-02,180.26,211525.61111111112,36,1,4700,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,MOSC34.SA,MOSC34,bdr,MOSAIC CO,DRN,BRMOSCBDR003,2019-01-02,56.09,199730.03846153847,26,1,49600,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,LMTB34.SA,LMTB34,bdr,LOCKHEED,DRN,BRLMTBBDR009,2019-01-02,1007.54,192138.0,28,1,100,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,EXXO34.SA,EXXO34,bdr,EXXON MOBIL,DRN,BREXXOBDR006,2019-01-02,65.96,180259.64285714287,56,1,11200,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,ITLC34.SA,ITLC34,bdr,INTEL,DRN,BRITLCBDR005,2019-01-02,180.91,176119.79591836734,49,1,900,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,PGCO34.SA,PGCO34,bdr,PG,DRN,BRPGCOBDR001,2019-01-02,347.24,172791.93023255814,43,3,3300,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,UPSS34.SA,UPSS34,bdr,UPS,DRN,BRUPSSBDR009,2019-01-02,92.57,170467.26666666666,30,5,500,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,CLGN34.SA,CLGN34,bdr,CELGENE CORP,DRN,BRCLGNBDR002,2019-01-02,254.68,169500.04,25,1,100,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,METB34.SA,METB34,bdr,METLIFE INC,DRN,BRMETBBDR004,2019-01-02,159.31,162594.32258064515,31,1,300,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,COLG34.SA,COLG34,bdr,COLGATE,DRN,BRCOLGBDR000,2019-01-02,225.94,157513.26923076922,26,1,200,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,BOXP34.SA,BOXP34,bdr,BOSTON PROP,DRN ED,BRBOXPBDR008,2019-01-02,42.23,156350.22222222222,9,10,1000,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,IBMB34.SA,IBMB34,bdr,IBM,DRN,BRIBMBBDR003,2019-01-02,439.98,151611.875,32,1,1900,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,MDLZ34.SA,MDLZ34,bdr,MONDELEZ INT,DRN ED,BRMDLZBDR002,2019-01-02,76.18,124401.08823529411,34,1,4200,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,KHCB34.SA,KHCB34,bdr,KRAFT HEINZ,DRN,BRKHCBBDR007,2019-01-02,166.68,100289.66666666667,30,2,2200,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,COPH34.SA,COPH34,bdr,COPHILLIPS,DRN,BRCOPHBDR009,2019-01-02,60.57,89876.21951219512,41,1,1300,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,USSX34.SA,USSX34,bdr,US STEEL,DRN,BRUSSXBDR003,2019-01-02,70.92,86764.52380952382,21,1,11100,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,MACY34.SA,MACY34,bdr,MACY S,DRN,BRMACYBDR000,2019-01-02,117.33,82528.30434782608,23,1,400,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,UPAC34.SA,UPAC34,bdr,UNIONPACIFIC,DRN,BRUPACBDR001,2019-01-02,131.82,74915.47222222222,36,1,700,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,HPQB34.SA,HPQB34,bdr,HP COMPANY,DRN,BRHPQBBDR006,2019-01-02,79.16,71980.5,24,1,500,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,WUNI34.SA,WUNI34,bdr,WESTERNUNION,DRN,BRWUNIBDR007,2019-01-02,65.94,36100.65217391304,23,1,1000,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,PETR4.SA,PETR4,equity,PETROBRAS,PN  EJ  N2,BRPETRACNPR6,2019-01-02,24.06,2221199357.9333334,60,88411,104534800,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,VALE3.SA,VALE3,equity,VALE,ON      NM,BRVALEACNOR0,2019-01-02,51.09,1089199212.0833333,60,39910,17319600,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,ITUB4.SA,ITUB4,equity,ITAUUNIBANCO,PN  EDJ N1,BRITUBACNPR1,2019-01-02,37.0,748452582.2166667,60,50354,25581700,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,BBAS3.SA,BBAS3,equity,BRASIL,ON      NM,BRBBASACNOR3,2019-01-02,48.6,599525293.0,60,44353,14905300,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,BBDC4.SA,BBDC4,equity,BRADESCO,PN  EJ  N1,BRBBDCACNPR8,2019-01-02,40.39,599508195.9666667,60,37221,23320500,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,PETR3.SA,PETR3,equity,PETROBRAS,ON  EJ  N2,BRPETRACNOR9,2019-01-02,26.65,359933105.5,60,20857,14725300,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,ABEV3.SA,ABEV3,equity,AMBEV S/A,ON  EJ,BRABEVACNOR1,2019-01-02,16.15,329186384.26666665,60,45941,18692900,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,B3SA3.SA,B3SA3,equity,B3,ON  EJ  NM,BRB3SAACNOR6,2019-01-02,27.79,306472381.03333336,60,34693,24615000,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,ITSA4.SA,ITSA4,equity,ITAUSA,PN  EJ  N1,BRITSAACNPR7,2019-01-02,12.65,276436136.98333335,60,31962,25162700,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,GGBR4.SA,GGBR4,equity,GERDAU,PN      N1,BRGGBRACNPR8,2019-01-02,15.2,237320551.71666667,60,29305,12108200,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,MGLU3.SA,MGLU3,equity,MAGAZ LUIZA,ON  EJ  NM,BRMGLUACNOR2,2019-01-02,185.99,228591089.93333334,60,4753,844300,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,SUZB3.SA,SUZB3,equity,SUZANO PAPEL,ON      NM,BRSUZBACNOR0,2019-01-02,38.6,217374268.35,60,14955,4900000,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,CMIG4.SA,CMIG4,equity,CEMIG,PN  EJ  N1,BRCMIGACNPR3,2019-01-02,14.3,208009061.58333334,60,31286,11922800,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,USIM5.SA,USIM5,equity,USIMINAS,PNA     N1,BRUSIMACNPA6,2019-01-02,9.76,173291673.6,60,30526,21585400,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,LREN3.SA,LREN3,equity,LOJAS RENNER,ON  EJ  NM,BRLRENACNOR1,2019-01-02,43.55,150758729.15,60,19876,4078000,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,RAIL3.SA,RAIL3,equity,RUMO S.A.,ON      NM,BRRAILACNOR9,2019-01-02,16.95,146299907.51666668,60,27818,11991800,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,RENT3.SA,RENT3,equity,LOCALIZA,ON  EJ  NM,BRRENTACNOR4,2019-01-02,30.87,145262101.28333333,60,19247,4800900,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,CIEL3.SA,CIEL3,equity,CIELO,ON  EJ  NM,BRCIELACNOR3,2019-01-02,9.63,142574172.56666666,60,34266,13911000,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,GOLL4.SA,GOLL4,equity,GOL,PN      N2,BRGOLLACNPR4,2019-01-02,25.45,135258991.31666666,60,10212,3736100,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,FIBR3.SA,FIBR3,equity,FIBRIA,ON      NM,BRFIBRACNOR9,2019-01-02,67.7,135063470.05,60,12417,3044900,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,PCAR4.SA,PCAR4,equity,P.ACUCAR-CBD,PN      N1,BRPCARACNPR0,2019-01-02,82.77,131040902.13333334,60,8070,1384400,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,KROT3.SA,KROT3,equity,KROTON,ON      NM,BRKROTACNOR9,2019-01-02,9.25,128515913.08333333,60,52266,23713600,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,BRFS3.SA,BRFS3,equity,BRF SA,ON      NM,BRBRFSACNOR8,2019-01-02,22.38,126162505.21666667,60,19635,4620400,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,ELET3.SA,ELET3,equity,ELETROBRAS,ON      N1,BRELETACNOR6,2019-01-02,29.25,123287065.7,60,39348,16574300,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,BBSE3.SA,BBSE3,equity,BBSEGURIDADE,ON      NM,BRBBSEACNOR5,2019-01-02,28.32,122831502.88333334,60,21811,4663200,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,UGPA3.SA,UGPA3,equity,ULTRAPAR,ON      NM,BRUGPAACNOR8,2019-01-02,54.34,121509400.68333334,60,10076,1736800,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,BTOW3.SA,BTOW3,equity,B2W DIGITAL,ON      NM,BRBTOWACNOR8,2019-01-02,43.0,120817219.33333333,60,9431,2061500,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,BRDT3.SA,BRDT3,equity,PETROBRAS BR,ON      NM,BRBRDTACNOR1,2019-01-02,26.0,115808169.15,60,16519,5320300,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,JBSS3.SA,JBSS3,equity,JBS,ON      NM,BRJBSSACNOR8,2019-01-02,12.04,106819781.2,60,22169,6698300,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,GOAU4.SA,GOAU4,equity,GERDAU MET,PN      N1,BRGOAUACNPR8,2019-01-02,7.16,99362363.50983334,60,12317,10322000,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,CCRO3.SA,CCRO3,equity,CCR SA,ON      NM,BRCCROACNOR2,2019-01-02,12.0,98276480.98333333,60,27462,8650700,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,BRML3.SA,BRML3,equity,BR MALLS PAR,ON  EJ  NM,BRBRMLACNOR9,2019-01-02,13.46,97109821.3,60,31546,14193800,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,BRKM5.SA,BRKM5,equity,BRASKEM,PNA     N1,BRBRKMACNPA4,2019-01-02,48.31,96548913.3,60,8920,1345500,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,RADL3.SA,RADL3,equity,RAIADROGASIL,ON      NM,BRRADLACNOR0,2019-01-02,56.7,94419057.15,60,7613,1698200,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,LAME4.SA,LAME4,equity,LOJAS AMERIC,PN      N1,BRLAMEACNPR6,2019-01-02,19.72,93513512.46666667,60,20024,7133400,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,VIVT4.SA,VIVT4,equity,TELEF BRASIL,PN  EJ,BRVIVTACNPR7,2019-01-02,47.18,90947988.7,60,12843,2075700,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,KLBN11.SA,KLBN11,equity,KLABIN S/A,UNT EJ  N2,BRKLBNCDAM18,2019-01-02,16.31,89900768.16666667,60,18364,9700600,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,ESTC3.SA,ESTC3,equity,ESTACIO PART,ON      NM,BRESTCACNOR5,2019-01-02,24.85,87839171.31666666,60,35008,7068900,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,BBDC3.SA,BBDC3,equity,BRADESCO,ON  EJ  N1,BRBBDCACNOR1,2019-01-02,35.77,87085822.4,60,16466,3365100,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,ELET6.SA,ELET6,equity,ELETROBRAS,PNB     N1,BRELETACNPB7,2019-01-02,32.26,87085217.8,60,34051,8880500,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,NATU3.SA,NATU3,equity,NATURA,ON      NM,BRNATUACNOR6,2019-01-02,46.4,84324334.21666667,60,10574,2202800,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,BRAP4.SA,BRAP4,equity,BRADESPAR,PN  EJ  N1,BRBRAPACNPR2,2019-01-02,31.09,81583937.31666666,60,11498,2161300,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,EQTL3.SA,EQTL3,equity,EQUATORIAL,ON      NM,BREQTLACNOR0,2019-01-02,74.91,81541903.66666667,60,8042,1819700,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,AZUL4.SA,AZUL4,equity,AZUL,PN      N2,BRAZULACNPR4,2019-01-02,36.33,76789828.63333334,60,9140,2795000,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,SANB11.SA,SANB11,equity,SANTANDER BR,UNT,BRSANBCDAM13,2019-01-02,45.74,76629264.01666667,60,10310,4418100,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,CSNA3.SA,CSNA3,equity,SID NACIONAL,ON,BRCSNAACNOR6,2019-01-02,9.21,75336894.26666667,60,15258,10675800,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,SBSP3.SA,SBSP3,equity,SABESP,ON      NM,BRSBSPACNOR5,2019-01-02,34.37,74200458.21666667,60,16342,5995800,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,EMBR3.SA,EMBR3,equity,EMBRAER,ON  ED  NM,BREMBRACNOR4,2019-01-02,21.54,71719052.26666667,60,13818,3573800,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,IRBR3.SA,IRBR3,equity,IRBBRASIL RE,ON      NM,BRIRBRACNOR4,2019-01-02,83.3,71410225.11666666,60,6213,957400,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,CVCB3.SA,CVCB3,equity,CVC BRASIL,ON      NM,BRCVCBACNOR1,2019-01-02,61.1,70246886.86666666,60,11510,3513800,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,MULT3.SA,MULT3,equity,MULTIPLAN,ON  EJ  N2,BRMULTACNOR5,2019-01-02,24.92,63294939.31666667,60,15264,2448300,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
2019-01-02,WEGE3.SA,WEGE3,equity,WEG,ON  EJ  NM,BRWEGEACNOR0,2019-01-02,17.98,62631319.06666667,60,10943,2375600,B3 COTAHIST official annual file; last trading session 2019-01-02; 60-session average traded value,2019
