decision_date,ticker,ticker_raw,asset_class,issuer_name,specification,isin,observed_at,close_price_brl,average_daily_value_brl,trading_days,trade_count,quantity,source,universe_year
2017-01-02,HYPE3.SA,HYPE3,equity,HYPERMARCAS,ON      NM,BRHYPEACNOR0,2017-01-02,26.17,77954891.11666666,60,4535,1061500,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,CCRO3.SA,CCRO3,equity,CCR SA,ON      NM,BRCCROACNOR2,2017-01-02,15.79,76910435.03333333,60,6552,1892700,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,RADL3.SA,RADL3,equity,RAIADROGASIL,ON      NM,BRRADLACNOR0,2017-01-02,60.63,70143257.85,60,1939,309900,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,CSNA3.SA,CSNA3,equity,SID NACIONAL,ON,BRCSNAACNOR6,2017-01-02,10.86,68036418.41666667,60,2452,1127100,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,EMBR3.SA,EMBR3,equity,EMBRAER,ON      NM,BREMBRACNOR4,2017-01-02,16.0,67412174.61666666,60,1822,563200,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,EQTL3.SA,EQTL3,equity,EQUATORIAL,ON  EJ  NM,BREQTLACNOR0,2017-01-02,54.75,65384733.25,60,2659,400700,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,CTIP3.SA,CTIP3,equity,CETIP,ON  EJ  NM,BRCTIPACNOR2,2017-01-02,44.4,59893103.35,60,1585,323100,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,FIBR3.SA,FIBR3,equity,FIBRIA,ON      NM,BRFIBRACNOR9,2017-01-02,32.11,59789653.666666664,60,2457,611400,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,ELET3.SA,ELET3,equity,ELETROBRAS,ON      N1,BRELETACNOR6,2017-01-02,22.5,54135193.06666667,60,2030,602400,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,CMIG4.SA,CMIG4,equity,CEMIG,PN  EJ  N1,BRCMIGACNPR3,2017-01-02,7.72,51598425.11666667,60,2806,1766300,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,SUZB5.SA,SUZB5,equity,SUZANO PAPEL,PNA     N1,BRSUZBACNPA3,2017-01-02,13.93,50575082.31666667,60,6352,2006800,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,PCAR4.SA,PCAR4,equity,P.ACUCAR-CBD,PN      N1,BRPCARACNPR0,2017-01-02,54.52,50141475.4,60,1024,160300,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,SBSP3.SA,SBSP3,equity,SABESP,ON      NM,BRSBSPACNOR5,2017-01-02,28.37,49872141.61666667,60,2350,536100,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,RUMO3.SA,RUMO3,equity,RUMO LOG,ON      NM,BRRUMOACNOR3,2017-01-02,6.11,48226525.95,60,3594,2054000,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,CPFE3.SA,CPFE3,equity,CPFL ENERGIA,ON      NM,BRCPFEACNOR0,2017-01-02,25.26,47551101.95,60,1383,411000,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,BRKM5.SA,BRKM5,equity,BRASKEM,PNA     N1,BRBRKMACNPA4,2017-01-02,34.0,46661581.733333334,60,2266,486500,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,TAEE11.SA,TAEE11,equity,TAESA,UNT     N2,BRTAEECDAM10,2017-01-02,21.4,46362638.35,60,1981,572300,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,RENT3.SA,RENT3,equity,LOCALIZA,ON  EJ  NM,BRRENTACNOR4,2017-01-02,34.94,45117720.85,60,3854,552700,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,BBDC3.SA,BBDC3,equity,BRADESCO,ON  EJ  N1,BRBBDCACNOR1,2017-01-02,28.82,42805948.46666667,60,3776,551400,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,ELET6.SA,ELET6,equity,ELETROBRAS,PNB     N1,BRELETACNPB7,2017-01-02,26.13,41399281.1,60,580,242400,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,BRAP4.SA,BRAP4,equity,BRADESPAR,PN  EJ  N1,BRBRAPACNPR2,2017-01-02,14.5,40166903.916666664,60,1257,352500,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,CSAN3.SA,CSAN3,equity,COSAN,ON      NM,BRCSANACNOR6,2017-01-02,37.15,39929707.4,60,2757,520200,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,LAME4.SA,LAME4,equity,LOJAS AMERIC,PN,BRLAMEACNPR6,2017-01-02,16.63,39302840.46666667,60,5293,1251900,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,KLBN11.SA,KLBN11,equity,KLABIN S/A,UNT     N2,BRKLBNCDAM18,2017-01-02,17.1,38393286.766666666,60,5042,841000,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,NATU3.SA,NATU3,equity,NATURA,ON      NM,BRNATUACNOR6,2017-01-02,22.47,38358903.18333333,60,2996,551700,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,SANB11.SA,SANB11,equity,SANTANDER BR,UNT,BRSANBCDAM13,2017-01-02,29.5,35745657.03333333,60,2698,525900,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,MULT3.SA,MULT3,equity,MULTIPLAN,ON      N2,BRMULTACNOR5,2017-01-02,59.2,35033560.21666667,60,1230,172400,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,QUAL3.SA,QUAL3,equity,QUALICORP,ON      NM,BRQUALACNOR6,2017-01-02,18.82,34010937.56666667,60,2864,512100,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,TRPL4.SA,TRPL4,equity,TRAN PAULIST,PN      N1,BRTRPLACNPR1,2017-01-02,64.53,32549567.233333334,60,486,92900,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,WEGE3.SA,WEGE3,equity,WEG,ON      NM,BRWEGEACNOR0,2017-01-02,15.1,32346986.316666666,60,3957,820400,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,EGIE3.SA,EGIE3,equity,ENGIE BRASIL,ON      NM,BREGIEACNOR9,2017-01-02,34.85,31459911.3,60,1667,392200,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,CESP6.SA,CESP6,equity,CESP,PNB     N1,BRCESPACNPB4,2017-01-02,13.35,29481034.55,60,1677,432900,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,ECOR3.SA,ECOR3,equity,ECORODOVIAS,ON      NM,BRECORACNOR8,2017-01-02,8.14,28503980.116666667,60,4261,1202400,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,SMLE3.SA,SMLE3,equity,SMILES,ON  EJ  NM,BRSMLEACNOR1,2017-01-02,44.39,28367094.033333335,60,640,95000,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,CYRE3.SA,CYRE3,equity,CYRELA REALT,ON      NM,BRCYREACNOR7,2017-01-02,10.28,27648843.816666666,60,3497,1133200,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,ENBR3.SA,ENBR3,equity,ENERGIAS BR,ON  EJ  NM,BRENBRACNOR2,2017-01-02,13.4,27542948.233333334,60,1303,301100,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,ESTC3.SA,ESTC3,equity,ESTACIO PART,ON  ED  NM,BRESTCACNOR5,2017-01-02,15.45,27508642.15,60,2976,763000,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,MRVE3.SA,MRVE3,equity,MRV,ON      NM,BRMRVEACNOR2,2017-01-02,11.05,27480914.216666665,60,4666,984100,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,CVCB3.SA,CVCB3,equity,CVC BRASIL,ON      NM,BRCVCBACNOR1,2017-01-02,23.02,26979812.983333334,60,1256,236900,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,CSMG3.SA,CSMG3,equity,COPASA,ON      NM,BRCSMGACNOR5,2017-01-02,36.8,26890704.133333333,60,1477,270200,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,TOTS3.SA,TOTS3,equity,TOTVS,ON  EJ  NM,BRTOTSACNOR8,2017-01-02,23.59,24904237.95,60,1426,174400,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,TIMP3.SA,TIMP3,equity,TIM PART S/A,ON      NM,BRTIMPACNOR1,2017-01-02,7.73,24022618.066666666,60,1471,624300,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,BBTG11.SA,BBTG11,equity,BTG PACTUAL,UNT,BRBBTGUNT007,2017-01-02,15.1,23346017.016666666,60,793,892100,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,FLRY3.SA,FLRY3,equity,FLEURY,ON      NM,BRFLRYACNOR5,2017-01-02,34.7,21564790.45,60,1217,285500,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,GOLL4.SA,GOLL4,equity,GOL,PN      N2,BRGOLLACNPR4,2017-01-02,4.51,19242918.2,60,868,999500,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,GFSA3.SA,GFSA3,equity,GAFISA,ON      NM,BRGFSAACNOR3,2017-01-02,1.88,19050119.983333334,60,667,2580800,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,CPLE6.SA,CPLE6,equity,COPEL,PNB     N1,BRCPLEACNPB9,2017-01-02,27.2,18851344.483333334,60,557,102700,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,LIGT3.SA,LIGT3,equity,LIGHT S/A,ON      NM,BRLIGTACNOR2,2017-01-02,17.56,17758806.483333334,60,2855,587800,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,IGTA3.SA,IGTA3,equity,IGUATEMI,ON      NM,BRIGTAACNOR5,2017-01-02,26.62,17486747.366666667,60,1125,194000,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,VVAR11.SA,VVAR11,equity,VIAVAREJO,UNT     N2,BRVVARCDAM10,2017-01-02,11.31,16972657.95,60,2611,793100,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,MDIA3.SA,MDIA3,equity,M.DIASBRANCO,ON      NM,BRMDIAACNOR7,2017-01-02,111.78,16394131.533333333,60,308,35900,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,PSSA3.SA,PSSA3,equity,PORTO SEGURO,ON  EJ  NM,BRPSSAACNOR7,2017-01-02,26.91,16040949.066666666,60,323,53900,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,MPLU3.SA,MPLU3,equity,MULTIPLUS,ON      NM,BRMPLUACNOR3,2017-01-02,33.6,15816356.05,60,914,146800,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,MRFG3.SA,MRFG3,equity,MARFRIG,ON      NM,BRMRFGACNOR0,2017-01-02,6.4,15693122.483333332,60,2785,615100,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,SMTO3.SA,SMTO3,equity,SAO MARTINHO,ON      NM,BRSMTOACNOR3,2017-01-02,19.23,15563779.433333334,60,1459,334600,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,SAPR4.SA,SAPR4,equity,SANEPAR,PN  EJ  N2,BRSAPRACNPR6,2017-01-02,10.54,14983699.95,60,2255,1131700,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,TIET11.SA,TIET11,equity,AES TIETE E,UNT     N2,BRTIETCDAM15,2017-01-02,14.0,14623131.216666667,60,640,153400,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,DTEX3.SA,DTEX3,equity,DURATEX,ON      NM,BRDTEXACNOR3,2017-01-02,6.66,13899494.916666666,60,3227,971100,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,ODPV3.SA,ODPV3,equity,ODONTOPREV,ON      NM,BRODPVACNOR4,2017-01-02,12.39,13726136.516666668,60,1380,424400,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,OIBR4.SA,OIBR4,equity,OI,PN      N1,BROIBRACNPR8,2017-01-02,2.31,11538853.316666666,60,923,1627300,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,MGLU3.SA,MGLU3,equity,MAGAZ LUIZA,ON      NM,BRMGLUACNOR2,2017-01-02,101.71,11219884.616666667,60,144,62600,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,ENGI11.SA,ENGI11,equity,ENERGISA,UNT     N2,BRENGICDAM16,2017-01-02,18.53,10904957.75,60,418,111300,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,VLID3.SA,VLID3,equity,VALID,ON      NM,BRVLIDACNOR5,2017-01-02,24.18,10352018.883333333,60,778,125400,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,SULA11.SA,SULA11,equity,SUL AMERICA,UNT EJ  N2,BRSULACDAM12,2017-01-02,17.5,10258876.216666667,60,915,182000,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,BTOW3.SA,BTOW3,equity,B2W DIGITAL,ON      NM,BRBTOWACNOR8,2017-01-02,10.2,10077123.5,60,646,196100,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,BEEF3.SA,BEEF3,equity,MINERVA,ON      NM,BRBEEFACNOR6,2017-01-02,11.9,10016227.366666667,60,3470,616600,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,AALR3.SA,AALR3,equity,ALLIAR,ON      NM,BRAALRACNOR6,2017-01-02,14.6,9869437.090909092,44,87,35900,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,ELPL4.SA,ELPL4,equity,ELETROPAULO,PN      N2,BRELPLACNPR6,2017-01-02,10.88,9851951.783333333,60,2187,898100,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,RAPT4.SA,RAPT4,equity,RANDON PART,PN      N1,BRRAPTACNPR4,2017-01-02,3.5,9692036.416666666,60,1905,1488600,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,LINX3.SA,LINX3,equity,LINX,ON      NM,BRLINXACNOR0,2017-01-02,17.54,9649795.15,60,933,158400,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,BRSR6.SA,BRSR6,equity,BANRISUL,PNB     N1,BRBRSRACNPB4,2017-01-02,10.67,9004208.183333334,60,1048,281400,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,EZTC3.SA,EZTC3,equity,EZTEC,ON      NM,BREZTCACNOR0,2017-01-02,15.85,8092273.783333333,60,774,146100,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,ALUP11.SA,ALUP11,equity,ALUPAR,UNT     N2,BRALUPCDAM15,2017-01-02,17.17,7921603.633333334,60,2271,658400,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,LAME3.SA,LAME3,equity,LOJAS AMERIC,ON,BRLAMEACNOR9,2017-01-02,12.52,7910964.216666667,60,1057,190100,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,HGTX3.SA,HGTX3,equity,CIA HERING,ON      NM,BRHGTXACNOR9,2017-01-02,15.8,7238500.45,60,1112,262000,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,POMO4.SA,POMO4,equity,MARCOPOLO,PN      N2,BRPOMOACNPR7,2017-01-02,2.78,7117484.733333333,60,566,760600,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,ALSC3.SA,ALSC3,equity,ALIANSCE,ON      NM,BRALSCACNOR0,2017-01-02,14.69,7057564.6,60,1784,441800,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,SEER3.SA,SEER3,equity,SER EDUCA,ON      NM,BRSEERACNOR5,2017-01-02,18.5,7052172.2,60,703,87500,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,MYPK3.SA,MYPK3,equity,IOCHP-MAXION,ON      NM,BRMYPKACNOR7,2017-01-02,11.61,6424428.566666666,60,718,149600,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,GRND3.SA,GRND3,equity,GRENDENE,ON      NM,BRGRNDACNOR3,2017-01-02,17.61,5860215.383333334,60,701,123800,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,ITUB3.SA,ITUB3,equity,ITAUUNIBANCO,ON  EDJ N1,BRITUBACNOR4,2017-01-02,29.67,4873436.166666667,60,258,42500,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,TUPY3.SA,TUPY3,equity,TUPY,ON      NM,BRTUPYACNOR1,2017-01-02,12.44,4827567.183333334,60,655,156100,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,CGAS5.SA,CGAS5,equity,COMGAS,PNA EJ,BRCGASACNPA3,2017-01-02,46.7,4766490.216666667,60,66,20600,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,LEVE3.SA,LEVE3,equity,METAL LEVE,ON      NM,BRLEVEACNOR2,2017-01-02,20.61,4714134.866666666,60,113,29500,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,OIBR3.SA,OIBR3,equity,OI,ON      N1,BROIBRACNOR1,2017-01-02,2.64,4630566.216666667,60,173,368000,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,SLCE3.SA,SLCE3,equity,SLC AGRICOLA,ON      NM,BRSLCEACNOR2,2017-01-02,14.66,4481349.266666667,60,599,101500,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,ARZZ3.SA,ARZZ3,equity,AREZZO CO,ON      NM,BRARZZACNOR3,2017-01-02,25.05,4292503.95,60,210,60200,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,QGEP3.SA,QGEP3,equity,QGEP PART,ON      NM,BRQGEPACNOR8,2017-01-02,5.47,4199267.4,60,609,154700,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,ALPA4.SA,ALPA4,equity,ALPARGATAS,PN      N1,BRALPAACNPR7,2017-01-02,9.84,4138751.933333333,60,514,117800,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,PARC3.SA,PARC3,equity,PARCORRETORA,ON      NM,BRPARCACNOR3,2017-01-02,13.35,3856804.933333333,60,1058,155900,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,BRPR3.SA,BRPR3,equity,BR PROPERT,ON      NM,BRBRPRACNOR9,2017-01-02,7.47,3821044.5166666666,60,367,138100,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,PDGR3.SA,PDGR3,equity,PDG REALT,ON      NM,BRPDGRACNOR8,2017-01-02,1.52,3719168.433333333,60,1684,5729600,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,ABCB4.SA,ABCB4,equity,ABC BRASIL,PN  EJS N2,BRABCBACNPR4,2017-01-02,13.31,3699110.033333333,60,998,195800,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,MAGG3.SA,MAGG3,equity,MAGNESITA SA,ON      NM,BRMAGGACNOR4,2017-01-02,23.75,3307577.566666667,60,17,2900,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,EVEN3.SA,EVEN3,equity,EVEN,ON      NM,BREVENACNOR8,2017-01-02,3.73,3218081.7666666666,60,843,290000,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
